Ua(V),Ub(V),Uc(V), Ia(A), Ib(A),   Ic(A)
-62.788,-18.989,81.841,-67.613,-13.941,81.915
7.0733,70.516,-77.681,9.9722,67.146,-77.159
83.558,-45.617,-37.755,80.544,-50.992,-29.396
-16.821,80.977,-64.172,-20.045,80.953,-60.54
38.501,44.28,-82.874,37.631,36.885,-74.702
-81.408,28.378,53.071,-72.939,27.627,45.034
-38.695,85.124,-46.244,-41.81,83.856,-42.158
-82.346,53.851,27.936,-71.315,51.024,20.012
84.828,-33.568,-50.977,81.642,-32.871,-49.05
56.692,26.359,-83.118,56.269,27.084,-83.165
-77.809,66.343,11.156,-70.507,64.883,5.438
79.034,-11.017,-67.671,78.434,-5.6972,-72.386
69.756,3.9851,-73.627,68.291,-4.6838,-63.509
-66.063,-9.9748,76.256,-57.083,-17.246,74.516
-83.972,38.461,45.226,-78.486,35.38,42.972
-84.983,37.239,47.554,-84.87,38.582,45.645
82.158,-56.273,-25.425,85.066,-52.806,-31.619
76.677,-4.7247,-71.866,75.805,-3.6195,-72.532
-64.171,-13.507,77.994,-59.142,-12.532,71.492
-78.917,68.106,10.379,-77.906,72.674,4.92
57.207,22.746,-80.047,46.86,25.387,-72.34
-79.301,14.853,63.95,-68.301,4.9408,63.267
85.124,-46.678,-38.261,83.949,-43.028,-41.126
54.715,27.801,-82.82,44.808,33.894,-78.956
17.774,-78.648,60.812,21.13,-71.781,50.589
13.412,63.255,-76.98,13.703,56.333,-69.87
4.6492,-76.36,71.402,-2.3162,-72.961,75.34
24.548,-81.787,56.865,17.091,-71.035,53.851
67.741,-76.473,8.2346,63.702,-65.722,1.8334
74.267,-70.507,-3.3871,67.337,-69.544,2.2373
-51.635,84.914,-33.11,-53.987,82.388,-28.039
75.419,-71.402,-3.5989,79.196,-67.768,-11.239
59.102,-81.631,22.36,54.494,-78.296,23.67
-19.393,-62.5,81.996,-14.454,-67.115,81.861
-84.997,38.624,46.209,-83.136,40.774,42.063
-70.338,-2.3405,72.8,-60.377,-10.887,71.361
-81.507,57.767,23.119,-70.383,54.473,15.755
-32.831,-51.884,84.852,-27.759,-54.236,82.357
63.303,17.656,-81.334,64.474,13.866,-78.745
35.062,49.392,-84.696,32.419,48.686,-81.226
36.182,-84.215,47.662,41.205,-79.621,37.941
-8.4859,-69.068,77.827,-6.1558,-68.458,74.808
67.873,8.6658,-76.827,67.821,3.4175,-71.583
55.219,-80.264,24.828,45.057,-72.589,27.469
21.351,-81.345,60.076,25.02,-81.144,55.953
-46.922,82.067,-35.052,-37.133,73.335,-36.077
-24.028,-57.909,82.178,-21.017,-57.911,79.263
19.166,61.484,-81.107,12.689,62.377,-75.254
59.555,-82.735,23.402,55.467,-81.939,26.216
-55.267,83.304,-27.911,-54.283,83.185,-28.696
-55.351,82.636,-27.391,-51.75,84.844,-32.989
83.58,-54.653,-28.18,77.659,-56.776,-20.537
71.843,-72.465,0.55933,69.885,-63.919,-5.9973
3.6679,71.99,-75.9,4.5391,70.392,-75.244
